pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,802.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,802.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,812.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,813.08
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,811.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,804.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,801.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,802.7
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,801.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,812.89
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,814.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,813.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,804.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,802.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,804.36
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,801.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,813.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,816.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,813.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,802.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,802.69
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,804.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,807.81
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,814.3
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,815.49
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,812.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,802.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,805.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,794.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,796.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,806.1
